text,label
宝可梦朱紫现在还卡吗？另外租这个游戏需要交多少押金？,all
塞尔达传说王国之泪自由度高吗，新手玩会不会太复杂？,game
动物森友会现在人少了吗？会员同时租几款合适？,all
有没有哈利波特的游戏推荐？对了，我芝麻分650能免押租吗？,all
路易吉洋楼 3 的恐怖元素多吗，适合小朋友玩吗？,game
宝可梦剑盾现在优化好了吗？退租要自己出邮费吗？,all
动物森友会的季节活动是实时更新的吗，错过还能补吗？租的游戏如果包含 DLC，归还时需要删除吗？,all
有适合带孩子玩的轻松游戏推荐吗？租的游戏迟到怎么办？,all
怪物猎人崛起曙光难不难？坏了赔偿多少钱？,all
动物森友会装修岛屿自由度高吗？你们支持自提吗？,all
马里奥网球ACE联机稳定吗？坏了要全赔吗？,all
集合啦动物森友会现在更新停了吗？退货要原包装吗？,all
火焰纹章Engage的角色转职需要什么道具？,game
快递途中卡带损坏了，责任算谁的？,rule
异度神剑3剧情偏向日式RPG吗，大概多长时间能通关？,game
没有会员的话，租游戏一次最多能租几个？,rule
租借时间是从收到游戏那天开始算吗？,rule
斯普拉遁 3 的联机对战需要会员吗？成为会员后租游戏能免押金吗？,all
归还流程是在小程序里点“归还”然后叫快递就可以了吗？,rule
押金冻结在哪？支付宝还是微信？,rule
马里奥 3D 世界 + 狂怒世界的狂怒模式好玩吗，多长时间能通关？,game
马里奥奥德赛通关大概需要多少个小时？,game
下单后可以修改收货地址吗，多久内可以修改？,rule
我想租塞尔达传说织梦岛，请问重制版和原版区别大吗？没有会员的话，一次最多能租几个游戏？,all
宝可梦朱紫的联机功能稳定吗，和朋友一起玩需要加速器吗？租游戏的时候需要提供身份证信息吗，用来干嘛？,all
健身环大冒险的强度可以调节到适合新手的程度吗？归还的时候如果健身环有磨损，需要赔偿吗？,all
想租斯普拉遁3打排位，现在匹配快吗？周末下单也发货吗？,all
喷射战士3主要是线上对战吗，一个人玩会不会无聊？,game
成为会员后租游戏能打折吗，会员怎么办理？,rule
怪物猎人崛起单人能玩吗？租借期间坏了怎么赔偿？,all
宝可梦朱紫的开放世界做得怎么样，有没有很多 bug？会员有效期快到了，会自动续费吗？,all
塞尔达旷野之息和王国之泪比起来，哪个更适合第一次玩？,game
猎天使魔女3动作难不难？如果玩不来能不能中途换别的？,all
舞力全开2025歌单有哪些新歌？,game
会员过期后，之前租的游戏还能继续用吗？,rule
卡带需要用原包装寄回吗？还是随便包装就行？,rule
异度神剑3剧情很长吗？租的时间够不够玩完？,all
舞力全开2025适合家庭聚会吗？快递是包邮的吗？,all
塞尔达传说王国之泪里，初始空岛的那个神庙怎么飞过去啊？,game
游戏卡带收到后有问题可以直接退租吗？,rule
办了季卡之后，是不是所有游戏都可以无限次免费换？,rule
异度神剑3流程是不是很长？租期一般给多长时间？,all
押金退款手续费谁出？,rule
卡带外壳碎了算人为损坏吗？,rule
银河战士生存恐惧的难度是不是很高，有没有提示功能？,game
塞尔达王国之泪神庙全收集要多久？,game
喷射战士3和2比起来有哪些改进？,game
租赁期间如果搬家了，可以修改收货和寄回地址吗？,rule
王国之泪现在版本稳定吗？节假日下单会不会延迟发货？,all
大金刚热带寒流的平台跳跃难度如何，有没有存档点？,game
多租几款有批量折扣吗？,rule
皮克敏4难不难上手？押金要收多少？,all
密特罗德生存恐惧吓人不？氛围怎么样？,game
游戏说明书会一起寄吗？,rule
火焰纹章engage值得入吗？游戏卡带容易划痕吗？,all
舞力全开系列需要额外设备吗，一个人玩会不会很尴尬？,game
马里奥赛车8聚会神作吗？你们支持港澳台地区吗？,all
想租个双人游戏和女朋友玩，有什么推荐？快递包邮吗？,all
怪物猎人崛起曙光扩展内容值不值？,game
下单后可以修改收货地址吗？,rule
舞力全开需要额外设备吗？租这个游戏快递费是你们包吗？,all
租的游戏不玩了怎么退回？需要自己出邮费吗？,rule
我想租塞尔达王国之泪玩一玩，请问你们一般用什么快递发货？,all
取消订单押金会退吗？,rule
过年家里人多，推荐几个支持4个人一起玩的派对游戏呗。,game
马里奥奥德赛关卡设计是不是偏向收集向？,game
三角战略战棋难不难？,game
押金是原路退回吗，需要手动申请吗？,rule
星之卡比探索发现的 boss 战难吗，有没有简单模式？租了之后发现游戏不喜欢，能提前归还退部分租金吗？,all
星之卡比探索发现的 boss 战难吗，有没有简单模式？,game
有什么适合情侣一起玩的 Switch 游戏，合作类的？,game
押金可以抵扣租金吗？,rule
动森这种需要长期玩的游戏，如果我把卡带还给你们了，我的岛还在吗？,all
塞尔达传说王国之泪的地图比旷野之息大多少，探索起来容易迷路吗？租的游戏卡带如果刮花了，需要赔偿多少钱？,all
密特罗德生存恐惧氛围怎么样？快递是顺丰吗？,all
下单后多久能发货，周末会发货吗？,rule
分手炮手2适合新手吗？操作复杂不？,game
我想租塞尔达王国之泪，请问你们用什么快递发货？,all
你们支持港澳台发货吗？快递怎么走？,rule
节假日快递正常发吗？延迟怎么办？,rule
马里奥赛车8好玩吗？如果我玩几天就不想玩了可以提前退吗？,all
有什么耐玩的RPG推荐吗？我想办个季卡，如果不喜欢玩能随时换吗？,all
健身环大冒险自定义模式可以吗？,game
新用户第一次租游戏需要交多少押金？押金一般多久能退回来？,rule
马里奥赛车 8 豪华版支持本地双人对战吗，最多能几个人一起玩？,game
塞尔达无双灾厄启示录剧情连贯吗？,game
怪物猎人崛起里太刀怎么通过居合斩开刃？,game
健身环大冒险需要很大的空间吗，小个子能玩吗？,game
星之卡比探索发现大概有多少个关卡？,game
如果快递送过来外包装破损严重，我可以拒收吗？,rule
喷射战士3祭典活动好玩吗？你们支持偏远地区发货吗？,all
火焰纹章风花雪月难度高吗？如果我超期几天才寄回会怎么收费？,all
如果超过租期忘记寄回，会怎么收费？,rule
路易吉洋馆3多人模式好玩吗？你们有保险可以买吗？,all
会员是按月还是按年收费的，中途能不能取消？,rule
马里奥奥德赛好玩吗？租多久合适能通关？,all
健身环大冒险需要很大的活动空间吗，小户型能玩吗？售后客服的工作时间是什么时候，有问题怎么联系？,all
星之卡比探索发现内容丰富吗？,game
猎天使魔女3的连招表在哪里看，感觉好难搓。,game
你们平台支持续租吗？续租需要重新下单吗？,rule
银河战士生存恐惧的难度高吗，有没有简单模式？快递途中卡带损坏了，责任算谁的？,all
喷射战士3现在人多吗？下单后当天能发货吗？,all
宝可梦朱紫DLC内容多吗？你们平台卖兑换码吗？,all
租了之后发现游戏不喜欢，能提前归还并退部分租金吗？,rule
勇者斗恶龙11S剧情偏传统，那如果我不喜欢能不能退租？,all
双人合作游戏多不多？会员和非会员租这些游戏差价大吗？,all
游戏卡带清洁你们会做吗？收到很脏怎么办？,rule
芝麻信用分多少可以免押金租游戏？,rule
租借期间游戏卡带自然损坏需要赔偿吗？,rule
我想换个游戏玩，是先寄回旧的再发新的，还是可以同时进行？,rule
大金刚热带寒流的平台跳跃难度如何，有没有存档点？会员等级有区别吗，高级会员有什么额外福利？,all
动物森友会的季节活动是实时更新的吗，错过还能补吗？,game
租借合同是电子的吗？需要签字吗？,rule
宝可梦朱紫抓闪趣吗？卡带有地区限制吗？,all
动物森友会适合成年人玩吗，后期会不会觉得无聊？,game
分手炮手2双人合作乱不乱？环坏了赔偿标准是啥？,all
星之卡比探索发现是偏向解谜还是动作？,game
塞尔达旷野之息还有bug吗？退游戏需要自己付邮费吗？,all
王国之泪DLC值得买吗？你们平台有卖DLC兑换码吗？,all
如果卡带有读不出来的问题，售后流程是怎样的？,rule
任天堂Switch上有什么比较耐玩的RPG推荐？,game
取消订单后，已经付的租金会全额退还吗？,rule
会员可以同时租几款游戏啊？有租借上限吗？,rule
荒野大镖客的卡带是中文版的吗？发货是用什么快递啊？,all
有什么适合单人玩的剧情向 Switch 游戏，故事感人的？,game
健身环大冒险适合减肥吗？这个环如果不小心弄坏了怎么赔？,all
火焰纹章风花雪月路线哪个最好？,game
租一张《塞尔达》的押金具体是多少钱？,rule
火焰纹章风花雪月策略性强不强，难度怎么样？,game
会员续费有优惠吗？怎么操作？,rule
塞尔达传说黄昏公主 HD 的画质怎么样，值得租来玩吗？归还游戏的时候，快递费需要自己承担吗？,all
喷射战士系列入门推荐哪一部？,game
霍格沃茨之遗在Switch上的画质怎么样，会不会糊得看不清？,game
归还游戏的时候，快递费需要自己承担吗？,rule
喷射战士3新武器好用吗？,game
异度神剑2金禾结局感动吗？租借上限是几款？,all
异度神剑2和3哪个剧情更好？,game
我想问一下，如果不玩了把卡带寄回去，押金一般几天能到账？,rule
怪物猎人物语2养蛋系统复杂吗？,game
马里奥高尔夫超级冲刺有故事模式吗？押金退款要多久？,all
怪物猎人物语2剧情好看吗？下单后多久能收到？,all
退货地址是固定的吗？写错地址怎么办？,rule
有什么适合新手入门的 Switch 游戏，不要太复杂的？,game
马里奥RPG重制版值得再玩吗？租借可以延长几天？,all
我想租马里奥 3D 世界 + 狂怒世界，请问狂怒模式多长时间能通关？游戏卡带丢了需要赔偿多少，赔偿流程是什么？,all
纸片马里奥RPG重制版和原版差别大吗？,game
租游戏可以开发票吗，发票是电子的还是纸质的？,rule
租的游戏可以拍照发朋友圈吗？,rule
马里奥制造 2 可以自己做关卡分享给朋友吗？租游戏的最短租期是多少天，最长呢？,all
舞力全开需要佩戴腕带吗？如果我不小心把腕带弄丢了要赔多少钱？,all
皮克敏 4 的游戏时长大概多久，手残党能通关吗？租的卡带如果丢了，需要全额赔偿吗？,all
塞尔达传说旷野之息不用 amiibo 能收集完所有装备吗？收到卡带后发现有划痕，影响使用该怎么办？,all
马里奥系列哪个最适合亲子玩？你们包装会防震吗？,all
火焰纹章 engage 的角色养成系统复杂吗，不氪金能玩吗？,game
宝可梦传说阿尔宙斯的玩法和传统宝可梦区别大吗，新手容易上手吗？押金的支付方式有哪些，支持花呗吗？,all
健身环大冒险每天玩半小时有效吗？环容易断吗？赔多少？,all
健身环大冒险真的能减肥吗，强度大不大？,game
塞尔达梦见岛解谜有提示吗？,game
纸片马里奥RPG战斗好玩吗？押金什么时候退？,all
节奏天国节奏感强吗？租借时间从哪天开始算？,all
想租塞尔达系列哪个最好玩？押金按游戏贵贱收吗？,all
塞尔达梦见岛音乐好听吗？你们用顺丰还是京东？,all
集合啦动物森友会是不是偏休闲类型，玩久了会腻吗？,game
宝可梦传说阿尔宙斯战斗系统好玩吗？,game
喷射战士3主要是联网玩的，那如果卡带有问题售后怎么处理？,all
喷射战士3如果我想联机对战，是必须用你们提供的账号还是可以用我自己的？,all
喷射战士3涂地模式爽不爽？多人租有优惠吗？,all
租游戏的时候需要提供身份证信息吗，用来干嘛？,rule
路易吉洋馆3恐怖吗？适合胆小的人玩吗？,game
异度神剑 3 的战斗系统复杂吗，新手容易上手吗？,game
游戏卡带坏了或者丢了要赔多少钱？,rule
三角战略的选择会影响结局吗，剧情自由度高吗？,game
寄回来的时候需要我自己准备包装盒吗，还是直接用你们原来的？,rule
节假日期间发货和退货时间会不会延迟？,rule
健身环大冒险真的能锻炼身体吗，强度会不会太低？,game
马里奥派对超级明星模式多吗？,game
女神异闻录5皇家版有中文配音吗？,game
喷射战士3如果没有会员能不能玩单人剧情模式？,game
路易吉洋馆3吓人吗？收到游戏发现问题可以换吗？,all
贝优妮塔3动作爽不爽？女主帅吗？,game
塞尔达织梦岛重制版和原版比怎么样？,game
斯普拉遁 3 的联机稳定性怎么样，需要加速器吗？,game
你们发货一般用什么快递？偏远地区能不能送到？,rule
我是为了玩塞尔达才办的会员，请问会员租这个游戏有折扣吗？,all
双人成行适合情侣玩吗？如果租来发现不适合能不能换别的游戏？,all
宝可梦朱紫优化好了吗？你们卡带是正版吗？,all
刺客信条艾吉奥合集包含哪几部？这个合集的押金是不是比单张卡带贵？,all
异度神剑 3 的剧情评价怎么样，适合喜欢 JRPG 的人吗？租游戏可以开发票吗，是电子发票还是纸质发票？,all
会员等级有区别吗，高级会员有什么额外福利？,rule
租借记录会影响信用吗？,rule
你们发货是用顺丰还是圆通啊，我想快点收到。,rule
售后客服的工作时间是什么时候，有问题怎么联系？,rule
如果快递途中丢件了，这个责任怎么算？,rule
动物森友会现在如果不联机的话，单机内容还丰富吗？,game
马里奥惊奇2D平台跳跃爽不爽？,game
售后电话是多少？几点能打通？,rule
哈迪斯耐玩吗？如果我中途换地址还能正常收货吗？,all
租的游戏卡带如果刮花了，需要赔偿多少钱？,rule
收到卡带后发现有污渍，影响使用该怎么办？,rule
我想租塞尔达传说王国之泪，请问这个游戏的神庙解谜难吗？还有租的时候需要交多少押金？,all
我想租个王国之泪玩玩，听说这游戏很杀时间，如果我超时还了会扣多少钱？,all
租金是从下单那天开始算，还是从我签收那天开始算？,rule
宝可梦传说阿尔宙斯的玩法和传统宝可梦有什么区别？,game
集合啦动物森友会适合长期玩吗？租期到了可以直接续吗？,all
马里奥惊奇好玩吗？如果我不小心把卡带的金手指弄脏了，算损坏吗？,all
收到的卡带不好用可以退换吗，退换流程是什么？,rule
塞尔达传说天空之剑 HD 的体感操作好用吗，能不能用普通手柄？下单后可以修改收货地址吗，多久内可以修改？,all
你们有新人优惠活动吗？首租减免押金？,rule
游戏卡带丢了需要全额赔偿吗，赔偿金额是多少？,rule
宝可梦朱紫优化修复了吗？现在能流畅玩吗？,game
会员租游戏有优先发货权吗？,rule
动物森友会岛屿设计有灵感吗？,game
皮克敏4操作复杂吗，适不适合不太会玩游戏的人？,game
押金的支付方式有哪些，支持花呗吗？,rule
卡带寄回来之后，大概多久能确认并退押金？,rule
平台支持异地归还吗，比如在合肥租的，能寄到其他城市的归还点吗？,rule
我想租火焰纹章 engage，请问角色养成系统复杂吗？平台支持异地归还吗，比如在合肥租的能寄到其他城市吗？,all
请问逾期归还的话是按天扣费还是直接扣押金？,rule
租游戏的运费是平台承担还是用户自己付？,rule
马里奥网球ACE发球技巧有哪些？,game
马里奥制造 2 可以自己做关卡吗，分享起来方便吗？,game
动物森友会现在还值得玩吗？会员能同时租几款游戏？,all
收到游戏后发现划痕严重可以退换吗？,rule
集合啦动物森友会有季节活动吗？现在还有吗？,game
马里奥派对适合聚会玩吗？如果人多卡带容易坏吗？坏了怎么赔？,all
游戏迟到或者丢件怎么处理？,rule
塞尔达王国之泪空岛探索有趣吗？租借时间够不够探索完？,all
马里奥赛车8适不适合和朋友一起本地多人玩？,game
哈迪斯在Switch上操作手感怎么样？,game
押金是按游戏价值收的吗？最高多少？,rule
推荐几个适合聚会的游戏呗，最好是明天就能发货的那种，周末急着用。,all
双人成行必须两个手柄玩吗？你们这边能不能顺便租个手柄给我？,all
三角战略的选择对剧情影响大吗，剧情自由度高吗？押金是原路退回吗，需要手动申请吗？,all
马里奥高尔夫超级冲刺模式多吗？,game
想租个解谜游戏，路易吉洋馆3吓人不？收到货可以试玩再决定租吗？,all
退游戏的时候需要把包装盒一起寄回去吗？,rule
塞尔达王国之泪适合新手吗？如果读卡失败售后怎么处理？,all
斯普拉遁 3 的武器种类多吗，每种武器操作难度不一样吗？新人第一次租游戏有优惠吗，能减租金吗？,all
快递单号会及时发我吗？,rule
我家小孩才6岁，有什么操作简单的马里奥游戏推荐吗？,game
双人合作游戏有什么推荐？沙发联机好玩的？,game
租的游戏可以带出国玩吗？,rule
想租全套的健身环大冒险减肥，请问那个环如果压断了要怎么赔偿？,all
皮克敏 4 的游戏难度如何，手残党能玩吗？,game
你们有实体店可以自提吗？,rule
游戏卡带外盒有轻微磨损会影响押金退还吗？,rule
刚才下单地址填错了，能不能帮我改一下配送地址？,rule
贝优妮塔3战斗华丽吗？游戏卡带有划痕可以拒收吗？,all
节奏天国适合一个人玩吗？,game
怪物猎人崛起打怪爽不爽？需要联机吗？,game
怪物猎人崛起单机内容多吗，不联网也能玩得下去吗？,game
马里奥奥德赛月球收集难吗？会员续费方便吗？,all
怪物猎人系列单人推荐哪款？逾期扣费严重吗？,all
会员和非会员在租赁次数和价格上有什么区别？,rule
马里奥派对超级巨星的迷你游戏有多少个，重复率高吗？,game
动物森友会后期会不会很无聊，适合长期玩吗？还有下单后多久能发货，合肥这边能次日达吗？,all
押金一般多久能退回来？最晚多久到账？,rule
塞尔达传说天空之剑 HD 的体感操作好用吗，能不能用普通手柄操作？,game
我想租火焰纹章风花雪月，请问这个游戏有几个结局？还有租期到了可以续租吗，续租怎么收费？,all
喷射战士入门哪款好？你们卡带都是全新似的吗？,all
马里奥派对超级明星运气大吗？下单当天发吗？,all
星之卡比对新手友好吗？如果我觉得不好玩，第二天能马上退租退款吗？,all
塞尔达织梦岛好玩吗？你们包装严实吗？快递几天下到？,all
快递到偏远地区要加钱吗？,rule
我想租三角战略，请问游戏的战斗系统复杂吗，新手容易上手吗？会员可以免押金租游戏吗，会员怎么办理？,all
RPG游戏一般通关要多久？租期能覆盖完整流程吗？,all
租 Switch 游戏需要交押金吗，押金多少天能退？,rule
你们平台有包年会员吗？多少钱？,rule
塞尔达系列哪个最经典？新手推荐哪款？,game
租借规则能详细说说吗？逾期一天扣多少钱？,rule
三角战略剧情分支多吗？租的时间可以续租吗？,all
异度神剑决定版优化好吗？,game
星之卡比探索发现适合小朋友玩吗？卡带容易刮花吗？,all
塞尔达传说织梦岛的重制版画质怎么样，和原版区别大吗？,game
尼尔机械纪元这游戏怎么样？如果卡带表面有划痕算人为损坏吗？,all
火焰纹章风花雪月的剧情有几个路线，每个路线大概多长时间？,game
马里奥赛车8适合聚会玩吗？几个人一起最好？,game
塞尔达旷野之息自由度是不是很高？你们这款现在有现货吗？,all
宝可梦朱和紫这两个版本到底有什么区别，推荐买哪个？,game
你们平台租游戏需要实名认证吗？,rule
皮克敏4适合新手吗？一个账号能同时租几张游戏？,all
有类似塞尔达的开放世界游戏推荐吗？,game
超级马里奥派对现在还有更新吗？小游戏多吗？,game
我在老家租的游戏，回工作地了可以在异地归还吗？,rule
快递是顺丰还是京东？到付吗？,rule
马里奥赛车 8 豪华版支持本地 4 人联机吗？如果租了之后卡带不好用，能免费更换吗？,all
塞尔达传说王国之泪的地图比旷野之息大吗，探索起来容易迷路吗？,game
火焰纹章风花雪月剧情长吗？快递到农村慢吗？,all
多人同时租同一款游戏会排队吗？,rule
你们支持线下自提或者同城面交吗？,rule
异度之刃流程太长了我怕一个月玩不完，中间可以申请续租吗？,all
如果不小心把卡带弄丢了，是赔原价还是赔二手价？,rule
塞尔达无双灾厄启示录一人能玩通吗？会员租便宜多少？,all
押金是必须用支付宝吗，能不能用微信或者银行卡？,rule
分手厨房2如果不看攻略的话，隐藏关卡怎么开启？,game
宝可梦朱紫的bug现在还多吗？如果卡带读不出来能不能给我换一张？,all
火焰纹章engage剧情好看吗？战斗系统复杂吗？,game
可以自己选择快递公司把游戏寄回去吗？,rule
会员有效期快到了，会自动续费吗？,rule
怪物猎人崛起单机好玩吗？租的时候可以续租吗？,all
